Wavelength,AbsorptionCoeff
747.71,0.898783096
748.364,0.9207509
749.017,0.942461545
749.671,0.963419064
750.325,0.982525117
750.979,1.001329151
751.632,1.019290411
752.286,1.038776457
752.94,1.058035649
753.594,1.077269654
754.248,1.095763509
754.902,1.116553095
755.555,1.139988477
756.209,1.16312127
756.863,1.185578115
757.517,1.210683219
758.171,1.234939394
758.825,1.255306913
759.479,1.2694387
760.133,1.280673202
760.787,1.289207959
761.441,1.291433772
762.095,1.289140147
762.749,1.279791834
763.403,1.266660657
764.057,1.247394852
764.711,1.221632097
765.365,1.189725374
766.019,1.152266564
766.673,1.112133774
767.327,1.068785686
767.981,1.022923122
768.635,0.976090676
769.289,0.926687341
769.943,0.875995577
770.597,0.824043263
771.252,0.773995347
771.906,0.725558567
772.56,0.680075901
773.214,0.638429552
773.868,0.60238729
774.522,0.572024359
775.177,0.545306424
775.831,0.520676607
776.485,0.497918018
777.139,0.477433092
777.794,0.457022668
778.448,0.43988075
779.102,0.424805214
779.757,0.41379113
780.411,0.401634867
781.065,0.390689935
781.72,0.382011031
782.374,0.373956453
783.028,0.366487005
783.683,0.360847905
784.337,0.357982939
784.992,0.357358955
785.646,0.355798859
786.3,0.355272059
786.955,0.353521776
787.609,0.350364973
788.264,0.348984567
788.918,0.346264947
789.573,0.346877819
790.227,0.345462837
790.882,0.347038327
791.536,0.347426077
792.191,0.346839854
792.846,0.347349451
793.5,0.349006208
794.155,0.353056974
794.809,0.358136706
795.464,0.363882519
796.119,0.370477146
796.773,0.377440505
797.428,0.383245252
798.082,0.387750854
798.737,0.391289337
799.392,0.396377379
800.047,0.40383996
800.701,0.410719333
801.356,0.417429142
802.011,0.424338828
802.665,0.431528401
803.32,0.437854083
803.975,0.44260131
804.63,0.449428626
805.285,0.457827905
805.939,0.466781656
806.594,0.475762502
807.249,0.486067982
807.904,0.496077361
808.559,0.505330047
809.214,0.514240018
809.869,0.524874031
810.523,0.53805631
811.178,0.551505796
811.833,0.565254818
812.488,0.576476662
813.143,0.585065611
813.798,0.592260077
814.453,0.596986839
815.108,0.60441825
815.763,0.611490364
816.418,0.621854536
817.073,0.635184937
817.728,0.64941835
818.383,0.664612256
819.038,0.67492655
819.693,0.686550373
820.349,0.69840442
821.004,0.708924012
821.659,0.71955633
822.314,0.727462636
822.969,0.740042799
823.624,0.752589868
824.279,0.764068398
824.935,0.77427251
825.59,0.782271508
826.245,0.791591927
826.9,0.796268219
827.555,0.798471726
828.211,0.800123768
828.866,0.801895032
829.521,0.803529646
830.176,0.803449125
830.832,0.803489295
831.487,0.8031789
832.142,0.80094089
832.798,0.79641199
833.453,0.790525479
834.108,0.78410961
834.764,0.777683591
835.419,0.770938701
836.075,0.763820916
836.73,0.759119715
837.385,0.755135845
838.041,0.750545497
838.696,0.743130805
839.352,0.735002657
840.007,0.726708749
840.663,0.719501413
841.318,0.711180969
841.974,0.70377445
842.629,0.695456928
843.285,0.68946376
843.94,0.686134875
844.596,0.681607323
845.251,0.67610887
845.907,0.670486034
846.563,0.666269926
847.218,0.661186606
847.874,0.653249338
848.529,0.646479943
849.185,0.641932508
849.841,0.63831235
850.496,0.636663956
851.152,0.633347807
851.808,0.632606694
852.463,0.630549869
853.119,0.631717267
853.775,0.631997999
854.431,0.635051811
855.086,0.640471825
855.742,0.645532519
856.398,0.652488665
857.054,0.656431358
857.71,0.661542148
858.365,0.663951522
859.021,0.666304642
859.677,0.672052381
860.333,0.675546717
860.989,0.680381943
861.645,0.685701081
862.301,0.694221457
862.957,0.704668751
863.612,0.713976085
864.268,0.728919477
864.924,0.748325817
865.58,0.771854741
866.236,0.793875796
866.892,0.817928487
867.548,0.842688779
868.204,0.869854706
868.86,0.894341935
869.516,0.918128997
870.172,0.944608972
870.828,0.972368925
871.485,1.002506865
872.141,1.029144939
872.797,1.062031742
873.453,1.098898212
874.109,1.140716094
874.765,1.18216549
875.421,1.223370497
876.077,1.270673808
876.734,1.322430573
877.39,1.377620359
878.046,1.434898138
878.702,1.495098632
879.358,1.565228866
880.015,1.638351631
